Disease Pair,Comorbidity
leprosy&muscular diseases,3.575847
"cholestasis&spastic paraplegia, hereditary",3.575322
ovarian diseases&spondylitis,3.565002
endocrine system diseases&hypopigmentation,3.562784
hypopigmentation&thyroid diseases,3.562784
"amino acid metabolism, inborn errors&bone diseases, metabolic",3.562748
celiac disease&charcot-marie-tooth disease,3.562171
celiac disease&hereditary sensory and motor neuropathy,3.562171
charcot-marie-tooth disease&malabsorption syndromes,3.562171
hereditary sensory and motor neuropathy&malabsorption syndromes,3.562171
"alzheimer disease&death, sudden",3.558964
"arthritis, rheumatoid&neuroendocrine tumors",3.558148
dyskinesias&hypopigmentation,3.556417
autoimmune diseases&lymphoma,3.556338
"arthritis&spondylitis, ankylosing",3.55553
hemorrhagic disorders&hypersensitivity,3.555395
"amino acid metabolism, inborn errors&spondylitis, ankylosing",3.548468
intellectual disability&spinocerebellar ataxias,3.545831
"lung diseases, obstructive&vascular diseases",3.536376
"leukemia, myeloid, acute&spastic paraplegia, hereditary",3.530297
immune system diseases&vasculitis,3.527018
"blood platelet disorders&lupus erythematosus, systemic",3.526374
glomerulonephritis&immunologic deficiency syndromes,3.523069
"genital diseases, female&pancreatic diseases",3.522069
ovarian diseases&spondylarthropathies,3.52104
"metal metabolism, inborn errors&uveal diseases",3.52003
adrenal gland diseases&albuminuria,3.516248
adrenal gland diseases&proteinuria,3.516248
cerebellar ataxia&sleep disorders,3.51164
sleep disorders&spinocerebellar ataxias,3.507817
malabsorption syndromes&multiple sclerosis,3.506971
hypotrichosis&malabsorption syndromes,3.506971
leukemia&muscular diseases,3.506815
immune system diseases&mycobacterium infections,3.503694
"adrenal gland diseases&amino acid metabolism, inborn errors",3.503563
"spastic paraplegia, hereditary&spondylitis",3.50004
liver cirrhosis&pancreatic diseases,3.498667
"liver cirrhosis, biliary&pancreatic diseases",3.498667
hair diseases&uveitis,3.496477
"anemia, aplastic&celiac disease",3.490012
"anemia, aplastic&malabsorption syndromes",3.490012
graves disease&spinocerebellar degenerations,3.48269
amyotrophic lateral sclerosis&craniofacial abnormalities,3.474878
craniofacial abnormalities&motor neuron disease,3.474878
"hypopigmentation&lupus erythematosus, systemic",3.472211
"anemia, hemolytic&myeloproliferative disorders",3.468234
"arthritis, rheumatoid&osteoporosis",3.466865
behcet syndrome&gastroenteritis,3.465376
head and neck neoplasms&respiratory tract diseases,3.46533
lymphoma&polyneuropathies,3.463761
"anemia, aplastic&varicose veins",3.454631
"hemorrhagic disorders&lupus erythematosus, systemic",3.453143
basal ganglia diseases&dyssomnias,3.447267
immunologic deficiency syndromes&spinal cord diseases,3.443997
autoimmune diseases&varicose veins,3.442763
"lupus erythematosus, systemic&multiple sclerosis",3.439068
"osteoporosis&spondylitis, ankylosing",3.432236
hypopigmentation&immunologic deficiency syndromes,3.430354
"anemia, aplastic&lupus erythematosus, systemic",3.428789
"hair diseases&lupus erythematosus, systemic",3.428777
spinocerebellar ataxias&stomatognathic diseases,3.427598
hair diseases&stomatognathic diseases,3.42692
"amino acid metabolism, inborn errors&hair diseases",3.425568
coronary disease&osteoporosis,3.420635
celiac disease&glomerulonephritis,3.419623
glomerulonephritis&malabsorption syndromes,3.419623
cholestasis&lysosomal storage diseases,3.418739
crohn disease&immune system diseases,3.417772
"death, sudden&osteoporosis",3.416493
"carbohydrate metabolism, inborn errors&coronary disease",3.41374
hyperthyroidism&muscular diseases,3.413675
movement disorders&muscular diseases,3.409929
immune system diseases&respiratory tract diseases,3.409325
"alzheimer disease&purine-pyrimidine metabolism, inborn errors",3.408353
anemia&celiac disease,3.407638
anemia&malabsorption syndromes,3.407638
alzheimer disease&nervous system diseases,3.406886
cerebellar ataxia&dyskinesias,3.402097
nervous system diseases&spinal cord diseases,3.398798
dyskinesias&spinocerebellar ataxias,3.398393
"bone diseases&spastic paraplegia, hereditary",3.394911
lymphoma&psoriasis,3.387881
adenocarcinoma&lymphoma,3.387881
bile duct diseases&lymphoma,3.387881
arterial occlusive diseases&neuroendocrine tumors,3.386552
"amino acid metabolism, inborn errors&hypopigmentation",3.386367
cerebellar ataxia&leprosy,3.380299
hypersensitivity&polyneuropathies,3.376685
"liver cirrhosis, biliary&psoriasis",3.374553
"immunologic deficiency syndromes&lung diseases, obstructive",3.371006
demyelinating diseases&polyneuropathies,3.370686
multiple sclerosis&polyneuropathies,3.370686
hair diseases&vasculitis,3.36873
dwarfism&osteoporosis,3.365785
osteoporosis&ovarian diseases,3.364378
"amyotrophic lateral sclerosis&lung diseases, obstructive",3.363307
"lung diseases, obstructive&motor neuron disease",3.363307
arthritis&hypopigmentation,3.362888
autoimmune diseases&cerebellar ataxia,3.358263
immune system diseases&precursor cell lymphoblastic leukemia-lymphoma,3.354152
disorders of sex development&parkinsonian disorders,3.352224
crohn disease&immunologic deficiency syndromes,3.345877
albuminuria&immunologic deficiency syndromes,3.345806
immunologic deficiency syndromes&proteinuria,3.345806
albuminuria&hair diseases,3.345806
hair diseases&proteinuria,3.345806
glioma&hair diseases,3.341402
celiac disease&cholestasis,3.336906
blood platelet disorders&cerebellar ataxia,3.335072
anemia&ectodermal dysplasia,3.333286
ectodermal dysplasia&osteoporosis,3.331787
"albuminuria&metal metabolism, inborn errors",3.330364
"metal metabolism, inborn errors&proteinuria",3.330364
cranial nerve diseases&mycobacterium infections,3.328316
gastroenteritis&retinitis pigmentosa,3.326587
arthritis&muscular dystrophies,3.326355
cerebellar ataxia&nervous system diseases,3.325027
"anemia, aplastic&glomerulonephritis",3.318483
adenocarcinoma&lipidoses,3.311721
basal ganglia diseases&cerebellar ataxia,3.310319
gastroenteritis&immunologic deficiency syndromes,3.309558
immunologic deficiency syndromes&psoriasis,3.309238
"ankylosis&bone diseases, metabolic",3.308383
"amino acid metabolism, inborn errors&metal metabolism, inborn errors",3.30719
"anemia, aplastic&head and neck neoplasms",3.306528
"metabolism, inborn errors&precursor cell lymphoblastic leukemia-lymphoma",3.303106
"abnormalities, multiple&gout",3.300933
lymphoma&peripheral nervous system diseases,3.299651
respiratory tract diseases&sleep disorders,3.299189
adrenal gland diseases&hemorrhagic disorders,3.297969
hypopigmentation&neoplasms,3.297885
coronary disease&macular degeneration,3.294997
"lupus erythematosus, systemic&mycobacterium infections",3.292514
"glomerulonephritis&metal metabolism, inborn errors",3.292454
"exophthalmos&neoplasms, connective and soft tissue",3.286152
head and neck neoplasms&polyneuropathies,3.283201
craniofacial abnormalities&uveitis,3.281234
"head and neck neoplasms&metal metabolism, inborn errors",3.276401
gastroenteritis&uveal diseases,3.271315
arterial occlusive diseases&varicose veins,3.268279
behcet syndrome&breast diseases,3.265926
bone diseases&varicose veins,3.263373
amyotrophic lateral sclerosis&autoimmune diseases,3.252884
autoimmune diseases&motor neuron disease,3.252884
stomatognathic diseases&uveal diseases,3.252257
"colitis, ulcerative&malabsorption syndromes",3.252257
malabsorption syndromes&stomatognathic diseases,3.252257
joint diseases&spondylarthropathies,3.240196
immune system diseases&muscular diseases,3.239186
anemia&disorders of sex development,3.235248
blood platelet disorders&neoplasms,3.233835
dementia&epilepsy,3.225058
parkinsonian disorders&sleep disorders,3.224259
alzheimer disease&epilepsy,3.2189
intestinal neoplasms&mycobacterium infections,3.218573
arthritis&hemorrhagic disorders,3.218356
arthritis&blood platelet disorders,3.217146
breast diseases&mycobacterium infections,3.216856
exophthalmos&stomatognathic diseases,3.212827
osteoporosis&vasculitis,3.209985
"amino acid metabolism, inborn errors&glomerulonephritis",3.208288
graves disease&muscular diseases,3.208221
cerebellar ataxia&muscular dystrophies,3.207706
dyskinesias&polyneuropathies,3.206421
aneurysm&blood platelet disorders,3.205043
coronary disease&spondylitis,3.202259
"anemia, hemolytic&arthritis",3.202015
asthma&hypersensitivity,3.201129
"lupus erythematosus, systemic&spondylitis, ankylosing",3.200716
"colorectal neoplasms&neoplasms, germ cell and embryonal",3.199047
cholestasis&spinocerebellar degenerations,3.197046
anemia&hemorrhagic disorders,3.196798
parkinsonian disorders&polyneuropathies,3.196141
"glomerulonephritis&lupus erythematosus, systemic",3.195826
blood coagulation disorders&leukemia,3.188214
"blood coagulation disorders, inherited&leukemia",3.188214
lymphoma&mycobacterium infections,3.187643
arthritis&leprosy,3.179254
"dyssomnias&neoplasms, germ cell and embryonal",3.177886
dyssomnias&ovarian neoplasms,3.177886
amyotrophic lateral sclerosis&parkinsonian disorders,3.17723
motor neuron disease&parkinsonian disorders,3.17723
"metal metabolism, inborn errors&neoplasms, germ cell and embryonal",3.177111
"metal metabolism, inborn errors&ovarian neoplasms",3.177111
dyskinesias&vascular diseases,3.176171
leprosy&osteoporosis,3.17438
nervous system diseases&vasculitis,3.174274
"anemia&anemia, hemolytic",3.170949
hypothalamic diseases&spinocerebellar degenerations,3.169808
"leukemia, myeloid, acute&vasculitis",3.169393
"albuminuria&anemia, hemolytic",3.16896
"anemia, hemolytic&proteinuria",3.16896
hair diseases&myeloproliferative disorders,3.165403
coronary disease&spondylarthropathies,3.16277
dyskinesias&retinitis pigmentosa,3.160271
cerebellar ataxia&cranial nerve diseases,3.160152
amyotrophic lateral sclerosis&dyskinesias,3.150512
dyskinesias&motor neuron disease,3.150512
basal ganglia diseases&intellectual disability,3.148406
leukemia&ovarian diseases,3.147294
anemia&blood platelet disorders,3.133318
"lysosomal storage diseases&neoplasms, germ cell and embryonal",3.131493
lysosomal storage diseases&ovarian neoplasms,3.131493
graves disease&sleep disorders,3.130148
malformations of cortical development&muscular dystrophies,3.119348
"cerebellar ataxia&death, sudden",3.118387
"autoimmune diseases&leukemia, b-cell",3.118376
aneurysm&myocardial infarction,3.117536
autoimmune diseases&multiple sclerosis,3.114699
amyotrophic lateral sclerosis&basal ganglia diseases,3.112663
basal ganglia diseases&motor neuron disease,3.112663
immune system diseases&myeloproliferative disorders,3.104855
"anemia, hemolytic&immune system diseases",3.102478
"anemia, aplastic&vasculitis",3.101812
"anemia, hemolytic&hypopigmentation",3.101432
glomerulonephritis&immune system diseases,3.10081
immunologic deficiency syndromes&osteoporosis,3.098083
arterial occlusive diseases&glomerulonephritis,3.097667
"metal metabolism, inborn errors&spinal cord diseases",3.091498
"glomerulonephritis&metabolism, inborn errors",3.089172
"leukemia, myeloid, acute&mycobacterium infections",3.088273
"anemia, aplastic&lymphatic diseases",3.086552
immunologic deficiency syndromes&spinocerebellar ataxias,3.085112
breast diseases&uveal diseases,3.083034
hypersensitivity&leukemia,3.080084
alzheimer disease&movement disorders,3.075038
"celiac disease&leukemia, myeloid, acute",3.072338
"bone diseases&diabetes mellitus, type 2",3.07108
"arthritis, rheumatoid&bone diseases, metabolic",3.069189
macular degeneration&sleep disorders,3.065897
hemorrhagic disorders&varicose veins,3.064762
muscular diseases&rheumatic diseases,3.06462
"malformations of cortical development&neoplasms, germ cell and embryonal",3.06439
malformations of cortical development&ovarian neoplasms,3.06439
"anemia, aplastic&arthritis",3.058016
adrenal gland diseases&glomerulonephritis,3.049386
neoplasms&respiratory tract diseases,3.046369
precursor cell lymphoblastic leukemia-lymphoma&uveitis,3.045406
"anemia, hemolytic&glomerulonephritis",3.044512
cardiomyopathies&lysosomal storage diseases,3.041363
"cardiomyopathy, hypertrophic&lysosomal storage diseases",3.041363
"amino acid metabolism, inborn errors&carbohydrate metabolism, inborn errors",3.040646
"autoimmune diseases&carbohydrate metabolism, inborn errors",3.03765
intestinal neoplasms&lymphoma,3.033937
behcet syndrome&colorectal neoplasms,3.031381
"colitis, ulcerative&immune system diseases",3.031335
"colitis, ulcerative&polyneuropathies",3.028646
"immune system diseases&lupus erythematosus, systemic",3.026805
"anemia, aplastic&intestinal neoplasms",3.026709
"anemia, aplastic&exophthalmos",3.026276
"heart defects, congenital&hypopigmentation",3.02529
rheumatic diseases&spondylarthropathies,3.021465
basal ganglia diseases&movement disorders,3.0206
cranial nerve diseases&muscular diseases,3.0206
basal ganglia diseases&cranial nerve diseases,3.0206
ankylosis&graves disease,3.020565
ankylosis&thyroid diseases,3.020565
"ankylosis&leukemia, b-cell",3.020565
exophthalmos&mycobacterium infections,3.019735
polyneuropathies&rheumatic diseases,3.018981
rheumatic diseases&spondylitis,3.018661
"bone diseases, metabolic&craniofacial abnormalities",3.018312
"bone diseases, metabolic&mycobacterium infections",3.014953
endocrine system diseases&neoplasms,3.01392
"anemia, hemolytic&leukemia, myeloid, acute",3.008091
lymphoproliferative disorders&multiple sclerosis,3.007161
"heart defects, congenital&leprosy",3.006762
hemorrhagic disorders&muscular dystrophies,3.006368
"anemia, hemolytic&lymphatic diseases",3.005799
"anemia, aplastic&peripheral nervous system diseases",3.003458
asthma&mycobacterium infections,3.003028
basal ganglia diseases&peripheral nervous system diseases,3.002458
"lipidoses&spondylitis, ankylosing",3.000614
neuroendocrine tumors&parkinsonian disorders,2.999358
hyperthyroidism&ovarian diseases,2.995621
ankylosis&lipidoses,2.995379
"carbohydrate metabolism, inborn errors&metabolism, inborn errors",2.994362
demyelinating diseases&retinitis pigmentosa,2.989955
multiple sclerosis&retinitis pigmentosa,2.989955
"bone diseases, metabolic&precursor cell lymphoblastic leukemia-lymphoma",2.98814
parkinsonian disorders&peripheral nervous system diseases,2.987264
"hypotrichosis&lung diseases, obstructive",2.986899
"amino acid metabolism, inborn errors&varicose veins",2.9845
"behcet syndrome&metal metabolism, inborn errors",2.983077
"anemia, aplastic&nervous system diseases",2.980712
"death, sudden&epilepsy",2.980155
craniofacial abnormalities&rheumatic diseases,2.980087
multiple sclerosis&rheumatic diseases,2.979282
"anemia, hemolytic&blood coagulation disorders",2.975661
"anemia, hemolytic&blood coagulation disorders, inherited",2.975661
"amino acid metabolism, inborn errors&spinal cord diseases",2.974855
precursor cell lymphoblastic leukemia-lymphoma&spinal cord diseases,2.970314
arthritis&hypotrichosis,2.969772
adrenal gland diseases&hyperthyroidism,2.966602
muscular diseases&uveitis,2.962808
"arterial occlusive diseases&diabetes mellitus, type 1",2.961228
hypopigmentation&precursor cell lymphoblastic leukemia-lymphoma,2.958548
"anemia, hemolytic&muscular diseases",2.953868
adrenal gland diseases&bile duct diseases,2.952579
breast neoplasms&disorders of sex development,2.950892
adrenal gland diseases&celiac disease,2.95078
adrenal gland diseases&malabsorption syndromes,2.95078
intellectual disability&varicose veins,2.949805
dwarfism&myeloproliferative disorders,2.941049
"precursor cell lymphoblastic leukemia-lymphoma&spondylitis, ankylosing",2.937003
"bone diseases, metabolic&celiac disease",2.934612
"bone diseases, metabolic&malabsorption syndromes",2.934612
"carcinoma, renal cell&glomerulonephritis",2.932456
"leukemia, myeloid, acute&lipidoses",2.931657
arthritis&hair diseases,2.931647
muscular diseases&nervous system diseases,2.931148
adenocarcinoma&anemia,2.929284
"hair diseases&leukemia, b-cell",2.92851
glomerulonephritis&malformations of cortical development,2.928478
adrenal gland diseases&pancreatic diseases,2.927402
aneurysm&pancreatic diseases,2.926964
adrenal gland diseases&myocardial infarction,2.925164
"leukemia, myeloid, acute&metal metabolism, inborn errors",2.923967
arthritis&glomerulonephritis,2.92288
hyperthyroidism&peripheral nervous system diseases,2.918754
albuminuria&hypopigmentation,2.913109
hypopigmentation&proteinuria,2.913109
"bone diseases, metabolic&peripheral nervous system diseases",2.912834
"abnormalities, multiple&cardiomegaly",2.912721
blood coagulation disorders&glomerulonephritis,2.911912
"blood coagulation disorders, inherited&glomerulonephritis",2.911912
immune system diseases&spinal cord diseases,2.908673
glomerulonephritis&heart arrest,2.906968
spinocerebellar degenerations&vasculitis,2.905098
"amino acid metabolism, inborn errors&gastroenteritis",2.904107
"leukemia, lymphocytic, chronic, b-cell&neoplasms",2.901232
breast diseases&ovarian diseases,2.899769
dyskinesias&hyperthyroidism,2.896303
cardiovascular diseases&ectodermal dysplasia,2.893719
glomerulonephritis&polyneuropathies,2.892324
"death, sudden&demyelinating diseases",2.89222
"death, sudden&multiple sclerosis",2.89222
"carbohydrate metabolism, inborn errors&peripheral nervous system diseases",2.890667
bone diseases&craniofacial abnormalities,2.89056
"bone diseases, metabolic&uveal diseases",2.889531
blood coagulation disorders&lipidoses,2.888018
"blood coagulation disorders, inherited&lipidoses",2.888018
colorectal neoplasms&peripheral nervous system diseases,2.884702
"lupus erythematosus, systemic&osteoporosis",2.884092
graves disease&ovarian diseases,2.879312
"bone diseases, metabolic&hypotrichosis",2.878019
"dwarfism&lupus erythematosus, systemic",2.87495
"autoimmune diseases&leukemia, lymphocytic, chronic, b-cell",2.871208
hereditary sensory and motor neuropathy&spinal cord diseases,2.870858
charcot-marie-tooth disease&spinal cord diseases,2.870858
"gout&purine-pyrimidine metabolism, inborn errors",2.870377
"carbohydrate metabolism, inborn errors&uveal diseases",2.867542
"amino acid metabolism, inborn errors&lung diseases, obstructive",2.865588
blood coagulation disorders&vascular diseases,2.865314
"blood coagulation disorders, inherited&vascular diseases",2.865314
"graves disease&metal metabolism, inborn errors",2.864916
"arthritis, rheumatoid&behcet syndrome",2.864611
glomerulonephritis&muscular diseases,2.864437
"amino acid metabolism, inborn errors&respiratory tract diseases",2.864417
"bone diseases, metabolic&immune system diseases",2.862517
hypothalamic diseases&movement disorders,2.861005
blood coagulation disorders&cholestasis,2.860126
"blood coagulation disorders, inherited&cholestasis",2.860126
albuminuria&blood platelet disorders,2.856531
blood platelet disorders&proteinuria,2.856531
"carbohydrate metabolism, inborn errors&hypotrichosis",2.856117
breast diseases&dyssomnias,2.854661
cholestasis&lymphatic diseases,2.854157
cerebellar ataxia&hypothalamic diseases,2.852325
celiac disease&muscular diseases,2.852194
malabsorption syndromes&muscular diseases,2.852194
"nervous system diseases&spondylitis, ankylosing",2.851488
adrenal gland diseases&movement disorders,2.849372
"lupus erythematosus, systemic&nervous system diseases",2.848971
arterial occlusive diseases&myocardial ischemia,2.845719
"anemia, hemolytic&vasculitis",2.845156
"bone diseases, metabolic&leprosy",2.844027
"amino acid metabolism, inborn errors&osteoporosis",2.841451
aneurysm&lipidoses,2.840734
"carbohydrate metabolism, inborn errors&lipidoses",2.840275
"charcot-marie-tooth disease&spondylitis, ankylosing",2.838662
"hereditary sensory and motor neuropathy&spondylitis, ankylosing",2.838662
"anemia&colitis, ulcerative",2.836773
hypersensitivity&stomatognathic diseases,2.833896
"amino acid metabolism, inborn errors&hypersensitivity",2.832778
"blood coagulation disorders&heart defects, congenital",2.830343
"blood coagulation disorders, inherited&heart defects, congenital",2.830343
"bone diseases&spondylitis, ankylosing",2.828433
cranial nerve diseases&spinocerebellar ataxias,2.827888
dyskinesias&nervous system diseases,2.824934
movement disorders&ovarian diseases,2.82493
immunologic deficiency syndromes&uveitis,2.824851
albuminuria&basal ganglia diseases,2.824146
basal ganglia diseases&proteinuria,2.824146
blood coagulation disorders&immune system diseases,2.821621
"blood coagulation disorders, inherited&immune system diseases",2.821621
"albuminuria&diabetes mellitus, type 1",2.815666
"diabetes mellitus, type 1&proteinuria",2.815666
ankylosis&respiratory tract diseases,2.81472
mycobacterium infections&osteoporosis,2.814498
craniofacial abnormalities&dyskinesias,2.813433
breast diseases&lysosomal storage diseases,2.812988
gastroenteritis&polyneuropathies,2.812638
"anemia, aplastic&vascular diseases",2.810783
autoimmune diseases&spinal cord diseases,2.808631
exophthalmos&precursor cell lymphoblastic leukemia-lymphoma,2.805824
blood platelet disorders&charcot-marie-tooth disease,2.80395
blood platelet disorders&hereditary sensory and motor neuropathy,2.80395
joint diseases&leprosy,2.803294
albuminuria&cardiomegaly,2.802737
cardiomegaly&proteinuria,2.802737
cardiomegaly&uveal diseases,2.796213
cholestasis&immune system diseases,2.790805
"anemia, aplastic&hypothalamic diseases",2.785783
dementia&dwarfism,2.782252
adrenal gland diseases&immune system diseases,2.780212
amyotrophic lateral sclerosis&hemorrhagic disorders,2.779902
hemorrhagic disorders&motor neuron disease,2.779902
"muscular diseases&spondylitis, ankylosing",2.777974
hypothalamic diseases&hypotrichosis,2.775161
"hypothalamic diseases&metal metabolism, inborn errors",2.77414
leukemia&spinal cord diseases,2.772484
hypopigmentation&immune system diseases,2.771188
nervous system diseases&spinocerebellar ataxias,2.76784
"colorectal neoplasms&neoplasms, connective and soft tissue",2.761872
"cholestasis&metabolism, inborn errors",2.76187
hypothalamic diseases&spinocerebellar ataxias,2.75731
"leukemia, b-cell&neoplasms",2.757112
arterial occlusive diseases&cardiovascular diseases,2.755541
amyotrophic lateral sclerosis&epilepsy,2.751918
epilepsy&motor neuron disease,2.751918
"cerebellar ataxia&leukemia, myeloid, acute",2.748973
"death, sudden&vasculitis",2.748003
"neoplasms, connective and soft tissue&respiratory tract diseases",2.747764
"cardiomyopathy, hypertrophic&heart defects, congenital",2.746446
adenocarcinoma&leprosy,2.742383
"hypothalamic diseases&metabolism, inborn errors",2.738341
basal ganglia diseases&disorders of sex development,2.737535
anemia&immune system diseases,2.737167
dyssomnias&epilepsy,2.73512
"amino acid metabolism, inborn errors&asthma",2.72803
"asthma&carbohydrate metabolism, inborn errors",2.72633
adenocarcinoma&autoimmune diseases,2.724506
"malabsorption syndromes&spondylitis, ankylosing",2.724295
"spondylitis, ankylosing&uveal diseases",2.724295
"bone diseases, metabolic&vasculitis",2.719696
"anemia, aplastic&bone diseases, metabolic",2.719335
"celiac disease&neoplasms, germ cell and embryonal",2.715824
celiac disease&ovarian neoplasms,2.715824
"malabsorption syndromes&neoplasms, germ cell and embryonal",2.715824
malabsorption syndromes&ovarian neoplasms,2.715824
hyperthyroidism&sleep disorders,2.713824
myeloproliferative disorders&vasculitis,2.711249
aneurysm&hemorrhagic disorders,2.71051
celiac disease&leukemia,2.710388
leukemia&malabsorption syndromes,2.710388
blood platelet disorders&movement disorders,2.70057
leukemia&nervous system diseases,2.699712
lipidoses&vasculitis,2.69792
"genital diseases, female&glioma",2.69393
"hyperthyroidism&metal metabolism, inborn errors",2.692526
dyskinesias&stomatognathic diseases,2.691001
epilepsy&movement disorders,2.68957
"diabetes mellitus, type 1&metabolism, inborn errors",2.68909
"adrenal gland diseases&neoplasms, connective and soft tissue",2.688704
"autoimmune diseases&lung diseases, obstructive",2.688014
endocrine system diseases&hypotrichosis,2.687465
hypotrichosis&thyroid diseases,2.687465
craniofacial abnormalities&dementia,2.687463
hemorrhagic disorders&vasculitis,2.687149
dyssomnias&hyperthyroidism,2.680929
"anemia, aplastic&polyneuropathies",2.679911
amyotrophic lateral sclerosis&varicose veins,2.679236
"genital diseases, male&prostatic neoplasms",2.678517
anemia&glomerulonephritis,2.676773
"arthritis, rheumatoid&bone diseases",2.676655
hypersensitivity&muscular diseases,2.675303
craniofacial abnormalities&glomerulonephritis,2.664724
aneurysm&blood coagulation disorders,2.663045
"aneurysm&blood coagulation disorders, inherited",2.663045
hair diseases&immune system diseases,2.661688
colorectal neoplasms&immune system diseases,2.661629
immune system diseases&intestinal neoplasms,2.659715
"celiac disease&spondylitis, ankylosing",2.658106
charcot-marie-tooth disease&cranial nerve diseases,2.656886
cranial nerve diseases&hereditary sensory and motor neuropathy,2.656886
"carbohydrate metabolism, inborn errors&dyssomnias",2.655131
exophthalmos&muscular diseases,2.653899
"leukemia, lymphocytic, chronic, b-cell&malformations of cortical development",2.652998
leprosy&rheumatic diseases,2.652008
"goiter&metal metabolism, inborn errors",2.647441
hypothalamic diseases&spinal cord diseases,2.642003
dyssomnias&rheumatic diseases,2.641608
"macular degeneration&spastic paraplegia, hereditary",2.641028
cholestasis&retinitis pigmentosa,2.637863
"lung diseases, obstructive&rheumatic diseases",2.63763
"immune system diseases&leukemia, b-cell",2.637092
cerebellar ataxia&glioma,2.63601
"endocrine system diseases&metal metabolism, inborn errors",2.634726
"metal metabolism, inborn errors&thyroid diseases",2.634726
bone diseases&glomerulonephritis,2.633725
glioma&spinocerebellar ataxias,2.633141
"carbohydrate metabolism, inborn errors&gastroenteritis",2.632665
"genital diseases, female&lymphatic diseases",2.632095
malformations of cortical development&myocardial infarction,2.630133
hypothalamic diseases&muscular diseases,2.627998
movement disorders&spinal cord diseases,2.62676
hemorrhagic disorders&uveitis,2.624987
"cardiomyopathies&death, sudden",2.623083
"cardiomyopathy, hypertrophic&death, sudden",2.623083
"neoplasms, connective and soft tissue&stomatognathic diseases",2.621845
"carbohydrate metabolism, inborn errors&immune system diseases",2.619788
"albuminuria&carbohydrate metabolism, inborn errors",2.615704
"carbohydrate metabolism, inborn errors&proteinuria",2.615704
celiac disease&neoplasms,2.614374
malabsorption syndromes&neoplasms,2.614374
"goiter&spastic paraplegia, hereditary",2.614242
"gastroenteritis&metabolism, inborn errors",2.612229
parkinsonian disorders&spinocerebellar ataxias,2.611118
colorectal neoplasms&lysosomal storage diseases,2.610971
arthritis&charcot-marie-tooth disease,2.607641
arthritis&hereditary sensory and motor neuropathy,2.607641
"bile duct diseases&metabolism, inborn errors",2.60687
"carbohydrate metabolism, inborn errors&lung diseases, obstructive",2.604601
head and neck neoplasms&hypothalamic diseases,2.604501
"liver cirrhosis&metal metabolism, inborn errors",2.604259
"liver cirrhosis, biliary&metal metabolism, inborn errors",2.604259
"blood coagulation disorders&lupus erythematosus, systemic",2.604202
"blood coagulation disorders, inherited&lupus erythematosus, systemic",2.604202
celiac disease&osteoporosis,2.603218
malabsorption syndromes&osteoporosis,2.603218
dwarfism&graves disease,2.603133
exophthalmos&macular degeneration,2.599504
"immune system diseases&leukemia, lymphocytic, chronic, b-cell",2.599486
ankylosis&joint diseases,2.598195
arthritis&craniofacial abnormalities,2.595449
"bone diseases, metabolic&rheumatic diseases",2.592654
cardiomyopathies&gout,2.592502
"cardiomyopathy, hypertrophic&gout",2.592502
"amino acid metabolism, inborn errors&movement disorders",2.592259
ankylosis&arthritis,2.591557
ankylosis&varicose veins,2.591557
"immunologic deficiency syndromes&metal metabolism, inborn errors",2.585154
"anemia&anemia, aplastic",2.585097
arterial occlusive diseases&lysosomal storage diseases,2.583173
adrenal gland diseases&ankylosis,2.582082
cerebellar ataxia&intellectual disability,2.581596
"sleep disorders&spondylitis, ankylosing",2.581306
asthma&dwarfism,2.581206
autoimmune diseases&osteoporosis,2.580289
"anemia, hemolytic&nervous system diseases",2.577231
ankylosis&sleep disorders,2.576802
"endocrine system diseases&spastic paraplegia, hereditary",2.574633
"spastic paraplegia, hereditary&thyroid diseases",2.574633
"leukemia, lymphocytic, chronic, b-cell&muscular diseases",2.571682
"anemia, hemolytic&liver cirrhosis",2.570689
"anemia, hemolytic&liver cirrhosis, biliary",2.570689
"leukemia, b-cell&muscular diseases",2.569261
blood coagulation disorders&cardiomyopathies,2.568506
"blood coagulation disorders&cardiomyopathy, hypertrophic",2.568506
"blood coagulation disorders, inherited&cardiomyopathies",2.568506
"blood coagulation disorders, inherited&cardiomyopathy, hypertrophic",2.568506
"lung diseases, obstructive&muscular dystrophies",2.567506
blood platelet disorders&psoriasis,2.565563
"amino acid metabolism, inborn errors&hypothalamic diseases",2.565112
"amino acid metabolism, inborn errors&charcot-marie-tooth disease",2.563327
"amino acid metabolism, inborn errors&hereditary sensory and motor neuropathy",2.563327
ovarian diseases&vasculitis,2.561908
cardiomegaly&cardiomyopathies,2.558766
"cardiomegaly&cardiomyopathy, hypertrophic",2.558766
hair diseases&spinal cord diseases,2.557697
leukemia&vasculitis,2.556138
colorectal neoplasms&malformations of cortical development,2.555021
"death, sudden&parkinsonian disorders",2.552722
"carbohydrate metabolism, inborn errors&hypersensitivity",2.551507
adrenal gland diseases&nervous system diseases,2.547269
"gout&leukemia, myeloid, acute",2.545864
albuminuria&muscular diseases,2.543297
muscular diseases&proteinuria,2.543297
immune system diseases&stomatognathic diseases,2.541635
adrenal gland diseases&crohn disease,2.541404
"leukemia, myeloid, acute&myocardial infarction",2.538205
nervous system diseases&uveitis,2.534344
"cardiomegaly&purine-pyrimidine metabolism, inborn errors",2.532801
"arthritis, rheumatoid&joint diseases",2.530585
dyskinesias&hypothalamic diseases,2.525552
